# time step,rewards
355.0,14.569500
356.0,14.570800
357.0,14.571900
358.0,14.573000
359.0,14.573600
360.0,14.573800
361.0,14.575300
362.0,14.575800
363.0,14.577400
364.0,14.578600
365.0,14.580600
366.0,14.581000
367.0,14.582600
368.0,14.583300
369.0,14.583200
370.0,14.584500
371.0,14.586300
372.0,14.587500
373.0,14.588300
374.0,14.589700
375.0,14.591600
376.0,14.593000
377.0,14.593900
378.0,14.594300
379.0,14.595000
380.0,14.596400
381.0,14.598300
382.0,14.597700
383.0,14.599500
384.0,14.600100
385.0,14.600700
386.0,14.601700
387.0,14.602200
388.0,14.603100
389.0,14.604000
390.0,14.604300
391.0,14.605500
392.0,14.606400
393.0,14.607600
394.0,14.607800
395.0,14.608800
396.0,14.609600
397.0,14.610400
398.0,14.611300
399.0,14.612800
400.0,14.613800
401.0,14.614400
402.0,14.614600
403.0,14.615500
404.0,14.616500
405.0,14.617000
406.0,14.617100
407.0,14.617700
408.0,14.618400
409.0,14.618800
410.0,14.619600
411.0,14.620000
412.0,14.620900
413.0,14.622200
414.0,14.623400
415.0,14.624400
416.0,14.625000
417.0,14.625500
418.0,14.627000
419.0,14.627000
420.0,14.627800
421.0,14.628800
422.0,14.629100
423.0,14.629800
424.0,14.630800
425.0,14.631300
426.0,14.631600
427.0,14.632900
428.0,14.634000
429.0,14.635300
430.0,14.635200
431.0,14.636100
432.0,14.636900
433.0,14.637800
434.0,14.638300
435.0,14.638600
436.0,14.638600
437.0,14.638600
438.0,14.639200
439.0,14.639700
440.0,14.640500
441.0,14.641300
442.0,14.642400
443.0,14.643100
444.0,14.643600
445.0,14.645500
446.0,14.646400
447.0,14.646700
448.0,14.647200
449.0,14.647300
450.0,14.648800
451.0,14.649200
452.0,14.649900
453.0,14.650300
454.0,14.650900
455.0,14.651400
456.0,14.652000
457.0,14.653200
458.0,14.654200
459.0,14.654800
460.0,14.654800
461.0,14.656100
462.0,14.656900
463.0,14.657900
464.0,14.658500
465.0,14.659400
466.0,14.660000
467.0,14.660700
468.0,14.661300
469.0,14.661400
470.0,14.661300
471.0,14.661600
472.0,14.662500
473.0,14.662900
474.0,14.663100
475.0,14.664000
476.0,14.664500
477.0,14.665200
478.0,14.666400
479.0,14.666600
480.0,14.667000
481.0,14.667900
482.0,14.668500
483.0,14.668800
484.0,14.669800
485.0,14.670500
486.0,14.671200
487.0,14.671700
488.0,14.672400
489.0,14.673400
490.0,14.674600
491.0,14.675500
492.0,14.676100
493.0,14.676900
494.0,14.677800
495.0,14.678400
496.0,14.679100
