# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
167.0,6.133300,1.039800,0.641000
168.0,6.131300,1.039800,0.641200
169.0,6.126300,1.040000,0.641700
170.0,6.119500,1.039900,0.642200
171.0,6.111100,1.039900,0.641800
172.0,6.111300,1.040200,0.641500
173.0,6.109500,1.040300,0.641600
174.0,6.113800,1.040700,0.641700
175.0,6.113900,1.040900,0.641500
176.0,6.115300,1.041300,0.641100
177.0,6.115000,1.041200,0.641200
178.0,6.113300,1.041400,0.641200
179.0,6.108600,1.041300,0.640800
180.0,6.107500,1.041400,0.640300
181.0,6.101000,1.041300,0.640800
182.0,6.098800,1.041500,0.641300
183.0,6.097700,1.041600,0.640700
184.0,6.097400,1.041600,0.640800
185.0,6.097400,1.042000,0.641100
186.0,6.098500,1.042200,0.641300
187.0,6.097000,1.042200,0.640900
188.0,6.098500,1.042300,0.640900
189.0,6.095100,1.042200,0.641000
190.0,6.090800,1.042300,0.641200
191.0,6.093500,1.042400,0.640800
192.0,6.088200,1.042300,0.641200
193.0,6.089700,1.042400,0.641200
194.0,6.086500,1.042400,0.641400
195.0,6.083700,1.042400,0.641400
196.0,6.085100,1.042600,0.641300
197.0,6.083300,1.042800,0.641100
198.0,6.084500,1.042900,0.640800
199.0,6.084600,1.043200,0.641000
200.0,6.080900,1.043300,0.641100
201.0,6.082500,1.043400,0.640600
202.0,6.082100,1.043700,0.641300
203.0,6.080500,1.043700,0.640900
204.0,6.080100,1.043800,0.640800
205.0,6.074800,1.043700,0.640300
206.0,6.067300,1.043600,0.640000
207.0,6.065900,1.043800,0.640000
208.0,6.067500,1.044000,0.640000
209.0,6.065400,1.044100,0.639900
210.0,6.064500,1.044000,0.639800
211.0,6.063600,1.043900,0.639800
212.0,6.059000,1.044000,0.640000
213.0,6.056400,1.044200,0.640000
214.0,6.057400,1.044800,0.640200
215.0,6.055500,1.044900,0.640300
216.0,6.052000,1.045000,0.639800
217.0,6.047700,1.045000,0.639900
218.0,6.041400,1.045000,0.640300
219.0,6.037300,1.045100,0.640200
220.0,6.031200,1.045100,0.640500
221.0,6.030700,1.045400,0.640300
222.0,6.025800,1.045400,0.639900
223.0,6.024900,1.045300,0.639600
224.0,6.022900,1.045400,0.639600
225.0,6.021000,1.045600,0.640000
226.0,6.020300,1.046000,0.640400
227.0,6.021700,1.046100,0.640200
228.0,6.022000,1.046100,0.640200
229.0,6.020800,1.046200,0.640100
230.0,6.018100,1.046100,0.640200
231.0,6.015000,1.046200,0.640100
232.0,6.014800,1.046300,0.640300
233.0,6.010300,1.046100,0.640700
234.0,6.009200,1.046100,0.640800
235.0,6.007500,1.046000,0.640900
236.0,6.005800,1.046000,0.641100
237.0,6.004300,1.046100,0.641000
238.0,6.004400,1.046200,0.640700
239.0,6.003400,1.046400,0.640500
240.0,5.999800,1.046400,0.640300
241.0,5.996800,1.046300,0.640000
242.0,5.993100,1.046400,0.640100
243.0,5.987900,1.046500,0.639800
244.0,5.985200,1.046600,0.640100
245.0,5.983200,1.046700,0.640300
246.0,5.981800,1.046800,0.640400
247.0,5.980500,1.047100,0.640700
248.0,5.978700,1.047100,0.640900
249.0,5.978800,1.047300,0.641000
250.0,5.976800,1.047300,0.640600
251.0,5.974800,1.047200,0.640600
252.0,5.973900,1.047300,0.640400
253.0,5.974700,1.047200,0.640800
254.0,5.974500,1.047300,0.640500
255.0,5.971200,1.047200,0.640500
256.0,5.973900,1.047300,0.640100
257.0,5.976800,1.047200,0.640400
258.0,5.974600,1.047200,0.640200
259.0,5.974300,1.047300,0.639700
260.0,5.971800,1.047500,0.639700
261.0,5.971700,1.047500,0.639500
262.0,5.970000,1.047500,0.639600
263.0,5.968200,1.047700,0.639400
264.0,5.968800,1.047800,0.639300
265.0,5.967400,1.047900,0.639000
266.0,5.964200,1.047900,0.639300
267.0,5.962800,1.048100,0.639300
268.0,5.958500,1.048000,0.639200
269.0,5.959600,1.048100,0.639500
270.0,5.958800,1.048300,0.639800
271.0,5.961700,1.048600,0.639900
272.0,5.961200,1.048600,0.639700
273.0,5.960700,1.048500,0.639600
274.0,5.963400,1.048600,0.639700
275.0,5.960200,1.048700,0.640000
276.0,5.960800,1.048800,0.639700
277.0,5.961600,1.048900,0.640000
278.0,5.960600,1.049100,0.640000
279.0,5.961300,1.049000,0.640200
280.0,5.959800,1.048900,0.640200
281.0,5.961600,1.049100,0.640100
282.0,5.963300,1.049100,0.640500
283.0,5.962400,1.049100,0.640300
284.0,5.962500,1.048900,0.640100
285.0,5.962600,1.048900,0.640200
286.0,5.961200,1.048900,0.640300
287.0,5.959500,1.048900,0.640000
288.0,5.958400,1.049100,0.640000
289.0,5.957100,1.049100,0.640000
290.0,5.957300,1.049100,0.640100
291.0,5.956900,1.049000,0.640400
292.0,5.956500,1.048900,0.640500
293.0,5.953000,1.048800,0.640100
294.0,5.950600,1.048800,0.640400
295.0,5.950000,1.048800,0.640800
296.0,5.949300,1.049000,0.640800
297.0,5.949800,1.049100,0.640700
298.0,5.949200,1.049300,0.640600
299.0,5.949300,1.049400,0.640300
300.0,5.947800,1.049400,0.640400
301.0,5.949400,1.049700,0.640400
302.0,5.946300,1.049600,0.640400
303.0,5.945800,1.049800,0.640500
304.0,5.945400,1.049900,0.640300
305.0,5.944400,1.049800,0.640100
306.0,5.942200,1.050000,0.640400
307.0,5.941200,1.050200,0.640300
308.0,5.939400,1.050300,0.640300
309.0,5.937600,1.050400,0.640400
310.0,5.935500,1.050600,0.640400
311.0,5.937500,1.050800,0.640200
312.0,5.936100,1.051000,0.640200
313.0,5.933200,1.050900,0.640200
314.0,5.935800,1.051000,0.640100
315.0,5.931700,1.051000,0.639900
316.0,5.932300,1.051000,0.639700
317.0,5.930300,1.051000,0.639600
318.0,5.928800,1.051000,0.639600
319.0,5.927800,1.051000,0.639700
320.0,5.927700,1.051100,0.639600
321.0,5.926900,1.051200,0.639600
322.0,5.925600,1.051200,0.639700
323.0,5.924300,1.051200,0.639800
324.0,5.926100,1.051400,0.639600
325.0,5.925000,1.051500,0.639500
326.0,5.924800,1.051500,0.639600
327.0,5.923400,1.051400,0.639500
328.0,5.923400,1.051300,0.639600
329.0,5.922200,1.051300,0.639500
330.0,5.922000,1.051500,0.639300
331.0,5.922800,1.051600,0.639300
332.0,5.921900,1.051700,0.639200
333.0,5.922800,1.051600,0.639300
334.0,5.921500,1.051600,0.639500
335.0,5.923500,1.051600,0.639400
336.0,5.922400,1.051700,0.639300
337.0,5.923100,1.051800,0.639400
338.0,5.921500,1.051900,0.639300
339.0,5.921700,1.052000,0.639200
340.0,5.920800,1.052000,0.639400
341.0,5.921600,1.052100,0.639300
342.0,5.922600,1.052300,0.639600
343.0,5.922700,1.052300,0.639700
344.0,5.922100,1.052400,0.640000
345.0,5.922700,1.052400,0.640200
346.0,5.921800,1.052500,0.640200
347.0,5.925500,1.052700,0.640300
348.0,5.924100,1.052600,0.640400
349.0,5.923800,1.052600,0.640300
350.0,5.921600,1.052500,0.640300
351.0,5.920200,1.052600,0.640100
352.0,5.920100,1.052600,0.640300
353.0,5.917400,1.052600,0.640300
354.0,5.915900,1.052500,0.640400
355.0,5.914300,1.052500,0.640600
356.0,5.913800,1.052600,0.640500
357.0,5.913700,1.052600,0.640300
358.0,5.913700,1.052600,0.640200
359.0,5.911600,1.052600,0.640300
360.0,5.908800,1.052500,0.640400
361.0,5.907600,1.052500,0.640600
362.0,5.907800,1.052500,0.640400
363.0,5.905800,1.052500,0.640500
364.0,5.905200,1.052400,0.640100
365.0,5.905500,1.052400,0.640200
366.0,5.903300,1.052300,0.640000
367.0,5.904400,1.052400,0.639800
368.0,5.904200,1.052400,0.639700
369.0,5.904800,1.052300,0.639700
370.0,5.905100,1.052400,0.639500
371.0,5.902900,1.052500,0.639600
372.0,5.902100,1.052600,0.639900
373.0,5.901100,1.052500,0.639800
374.0,5.899400,1.052600,0.639500
375.0,5.899000,1.052700,0.639900
376.0,5.899600,1.052800,0.640100
377.0,5.903100,1.053000,0.640200
378.0,5.900500,1.052900,0.640400
379.0,5.899800,1.053000,0.640400
380.0,5.898900,1.053000,0.640300
381.0,5.898900,1.052900,0.640100
382.0,5.897200,1.052900,0.640000
383.0,5.896000,1.052900,0.640100
384.0,5.894700,1.052900,0.640100
385.0,5.893600,1.053000,0.640200
386.0,5.893100,1.053000,0.640200
387.0,5.891900,1.053000,0.640200
388.0,5.889400,1.053100,0.639900
389.0,5.888500,1.053100,0.640100
390.0,5.888000,1.053100,0.640000
391.0,5.884600,1.053000,0.640200
392.0,5.884900,1.053100,0.639900
393.0,5.884100,1.053200,0.640200
394.0,5.881800,1.053200,0.640100
395.0,5.881700,1.053300,0.640100
396.0,5.879600,1.053400,0.640300
397.0,5.878200,1.053400,0.640300
398.0,5.878500,1.053400,0.640300
399.0,5.877600,1.053400,0.640500
400.0,5.875600,1.053300,0.640200
401.0,5.877900,1.053400,0.640200
402.0,5.878100,1.053400,0.640100
403.0,5.877200,1.053300,0.640300
404.0,5.875400,1.053300,0.640300
405.0,5.874600,1.053400,0.640300
406.0,5.873100,1.053300,0.640000
407.0,5.871700,1.053300,0.640100
408.0,5.871700,1.053400,0.640300
409.0,5.871000,1.053400,0.640400
410.0,5.868600,1.053400,0.640500
411.0,5.866200,1.053400,0.640500
412.0,5.867300,1.053400,0.640600
413.0,5.867200,1.053500,0.640700
414.0,5.865100,1.053500,0.640700
415.0,5.863000,1.053500,0.640500
416.0,5.864000,1.053600,0.640300
417.0,5.863800,1.053500,0.640500
418.0,5.864500,1.053600,0.640500
419.0,5.863700,1.053600,0.640700
420.0,5.865300,1.053700,0.640600
421.0,5.864600,1.053700,0.640400
422.0,5.863700,1.053700,0.640200
423.0,5.863100,1.053700,0.640400
424.0,5.862000,1.053700,0.640700
425.0,5.864000,1.053800,0.640500
426.0,5.862900,1.053800,0.640500
427.0,5.864100,1.053900,0.640700
428.0,5.864500,1.054000,0.640600
429.0,5.863400,1.054000,0.640600
430.0,5.864200,1.054000,0.640500
431.0,5.863100,1.053900,0.640500
432.0,5.863800,1.053900,0.640000
433.0,5.862900,1.053800,0.639900
434.0,5.863000,1.053800,0.639900
435.0,5.863600,1.053900,0.640000
436.0,5.864000,1.054000,0.639900
437.0,5.864900,1.054000,0.639900
438.0,5.863200,1.053900,0.639900
439.0,5.862600,1.053900,0.639800
440.0,5.861600,1.053900,0.639800
441.0,5.859800,1.053900,0.639800
442.0,5.858200,1.053900,0.639900
443.0,5.857000,1.053900,0.639700
444.0,5.856500,1.053900,0.639600
445.0,5.857200,1.053900,0.639900
446.0,5.857500,1.053900,0.639800
447.0,5.857000,1.053900,0.639800
448.0,5.856500,1.053900,0.639700
449.0,5.857000,1.054000,0.639600
450.0,5.856700,1.053900,0.639900
451.0,5.855200,1.053900,0.640000
452.0,5.854800,1.053900,0.639900
453.0,5.854500,1.053800,0.640000
454.0,5.853600,1.053800,0.640100
455.0,5.852800,1.053800,0.640200
456.0,5.851400,1.053900,0.640300
457.0,5.849800,1.053900,0.640200
458.0,5.849700,1.054000,0.640200
459.0,5.850400,1.054100,0.640300
460.0,5.850700,1.054100,0.640000
461.0,5.850600,1.054000,0.640200
462.0,5.848600,1.054000,0.639900
463.0,5.849100,1.054100,0.639900
464.0,5.849000,1.054200,0.640000
465.0,5.848300,1.054100,0.640000
466.0,5.846300,1.054100,0.640200
467.0,5.846900,1.054200,0.640200
468.0,5.847900,1.054200,0.640300
469.0,5.847200,1.054200,0.640300
470.0,5.846800,1.054200,0.640400
471.0,5.848800,1.054300,0.640400
472.0,5.849000,1.054300,0.640100
473.0,5.850300,1.054300,0.640200
474.0,5.850600,1.054300,0.640300
475.0,5.851300,1.054400,0.640300
476.0,5.848200,1.054300,0.640200
477.0,5.848400,1.054300,0.640200
478.0,5.849100,1.054400,0.640400
479.0,5.847700,1.054400,0.640400
480.0,5.848200,1.054300,0.640300
481.0,5.847200,1.054200,0.640500
482.0,5.848300,1.054300,0.640600
483.0,5.848900,1.054300,0.640500
484.0,5.847500,1.054300,0.640600
485.0,5.846400,1.054300,0.640600
486.0,5.845300,1.054300,0.640700
487.0,5.844500,1.054300,0.640700
488.0,5.843200,1.054300,0.640800
489.0,5.841700,1.054300,0.640800
490.0,5.841400,1.054200,0.640800
491.0,5.839900,1.054200,0.640600
492.0,5.840800,1.054300,0.640800
493.0,5.840700,1.054300,0.640900
494.0,5.839500,1.054300,0.640800
495.0,5.839000,1.054200,0.640900
496.0,5.838900,1.054200,0.640900
497.0,5.839600,1.054300,0.640800
498.0,5.838000,1.054200,0.640700
499.0,5.837600,1.054300,0.640600
500.0,5.838100,1.054300,0.640700
501.0,5.837400,1.054400,0.640600
502.0,5.837500,1.054400,0.640600
503.0,5.838300,1.054400,0.640700
504.0,5.839600,1.054600,0.640900
505.0,5.839600,1.054600,0.640900
506.0,5.839200,1.054600,0.640800
507.0,5.838000,1.054600,0.640700
508.0,5.838300,1.054700,0.640800
509.0,5.837700,1.054700,0.640900
510.0,5.835500,1.054600,0.640800
511.0,5.834100,1.054600,0.640800
512.0,5.836400,1.054600,0.640700
513.0,5.834200,1.054600,0.640800
514.0,5.832000,1.054600,0.640700
515.0,5.833000,1.054500,0.640700
516.0,5.834000,1.054600,0.640800
517.0,5.832300,1.054600,0.640800
518.0,5.832200,1.054600,0.640700
519.0,5.833300,1.054700,0.640800
520.0,5.832600,1.054700,0.641000
521.0,5.832600,1.054700,0.640900
522.0,5.830500,1.054700,0.640900
523.0,5.829400,1.054700,0.640800
524.0,5.829000,1.054800,0.640800
525.0,5.827500,1.054700,0.640600
526.0,5.826900,1.054700,0.640600
527.0,5.826900,1.054700,0.640700
528.0,5.826500,1.054800,0.640600
529.0,5.825100,1.054700,0.640500
530.0,5.823700,1.054800,0.640700
531.0,5.822600,1.054800,0.640700
532.0,5.821500,1.054800,0.640700
533.0,5.821100,1.054800,0.640700
534.0,5.820300,1.054800,0.640800
535.0,5.819400,1.054700,0.640800
536.0,5.819900,1.054700,0.640600
537.0,5.818900,1.054700,0.640500
538.0,5.816300,1.054600,0.640600
539.0,5.815800,1.054700,0.640800
540.0,5.814900,1.054700,0.640700
541.0,5.813700,1.054700,0.640800
542.0,5.812300,1.054600,0.640900
543.0,5.812900,1.054700,0.641200
544.0,5.812100,1.054700,0.641300
545.0,5.811900,1.054800,0.641300
546.0,5.811300,1.054800,0.641400
547.0,5.811200,1.054800,0.641600
548.0,5.811400,1.054800,0.641700
549.0,5.810900,1.054800,0.641800
550.0,5.811500,1.054800,0.641800
551.0,5.812200,1.054900,0.641800
552.0,5.812200,1.054900,0.641800
553.0,5.812400,1.054900,0.641900
554.0,5.812100,1.054900,0.642000
555.0,5.811700,1.054900,0.642300
556.0,5.812400,1.055000,0.642300
557.0,5.813100,1.055000,0.642400
558.0,5.811800,1.054900,0.642400
559.0,5.810500,1.054900,0.642500
560.0,5.810700,1.054900,0.642600
561.0,5.811200,1.055000,0.642600
562.0,5.809900,1.054900,0.642600
563.0,5.808900,1.054900,0.642800
564.0,5.808600,1.054800,0.642700
565.0,5.807700,1.054800,0.642700
566.0,5.807700,1.054900,0.642700
567.0,5.807100,1.054900,0.642600
568.0,5.805900,1.054800,0.642800
569.0,5.805900,1.054700,0.642700
570.0,5.804900,1.054700,0.642500
571.0,5.804000,1.054600,0.642500
572.0,5.802800,1.054600,0.642700
573.0,5.800900,1.054600,0.642800
574.0,5.800500,1.054700,0.642700
575.0,5.800900,1.054600,0.642900
576.0,5.800400,1.054600,0.642700
577.0,5.799100,1.054600,0.642800
578.0,5.799300,1.054600,0.642900
579.0,5.797900,1.054500,0.642900
580.0,5.797800,1.054500,0.643000
581.0,5.798400,1.054500,0.643100
582.0,5.797500,1.054600,0.643100
583.0,5.798200,1.054600,0.643100
584.0,5.797400,1.054600,0.643200
585.0,5.796300,1.054600,0.643300
586.0,5.796700,1.054700,0.643400
587.0,5.796800,1.054700,0.643300
588.0,5.796200,1.054700,0.643200
589.0,5.796500,1.054700,0.643100
590.0,5.796100,1.054700,0.643200
591.0,5.794300,1.054600,0.643100
592.0,5.794300,1.054600,0.643300
593.0,5.794800,1.054700,0.643400
594.0,5.793700,1.054600,0.643300
595.0,5.793200,1.054600,0.643300
596.0,5.791600,1.054600,0.643300
597.0,5.791400,1.054700,0.643300
598.0,5.790400,1.054700,0.643200
599.0,5.790100,1.054800,0.643100
600.0,5.789300,1.054700,0.643100
601.0,5.789200,1.054800,0.643000
602.0,5.787900,1.054700,0.642900
603.0,5.789300,1.054700,0.643000
604.0,5.789200,1.054700,0.642900
605.0,5.789400,1.054700,0.643000
606.0,5.789600,1.054700,0.643100
607.0,5.790200,1.054700,0.643200
608.0,5.789800,1.054700,0.643200
609.0,5.789800,1.054800,0.643300
610.0,5.790200,1.054800,0.643200
611.0,5.789100,1.054700,0.643300
612.0,5.790800,1.054800,0.643200
613.0,5.791000,1.054800,0.643300
