# time step,model 2 server believed rewards,model 2 true rewards,
1.0,20.000000,0.000000
2.0,20.000000,0.000000
3.0,20.000000,0.000000
4.0,20.000000,0.000000
5.0,20.000000,0.000000
6.0,20.000000,0.000000
7.0,20.000000,0.000000
8.0,19.875000,0.250000
9.0,19.888900,0.222200
10.0,19.900000,0.200000
11.0,19.363600,0.272700
12.0,19.166700,0.416700
13.0,19.153800,0.461500
14.0,19.214300,0.428600
15.0,19.266700,0.400000
16.0,19.312500,0.375000
17.0,19.352900,0.352900
18.0,19.166700,0.388900
19.0,19.210500,0.368400
20.0,19.250000,0.350000
21.0,19.238100,0.381000
22.0,19.272700,0.363600
23.0,19.304300,0.347800
24.0,19.333300,0.333300
25.0,19.360000,0.320000
26.0,19.384600,0.307700
27.0,19.407400,0.296300
28.0,19.428600,0.285700
29.0,19.448300,0.275900
30.0,19.466700,0.266700
31.0,19.483900,0.258100
32.0,19.500000,0.250000
33.0,19.515200,0.242400
34.0,19.529400,0.235300
35.0,19.542900,0.228600
36.0,19.555600,0.222200
37.0,19.567600,0.216200
38.0,19.578900,0.210500
39.0,19.512800,0.256400
40.0,19.525000,0.250000
41.0,19.536600,0.243900
42.0,19.547600,0.238100
43.0,19.558100,0.232600
44.0,19.568200,0.227300
45.0,19.577800,0.222200
46.0,19.587000,0.217400
47.0,19.595700,0.212800
48.0,19.604200,0.208300
49.0,19.612200,0.204100
50.0,19.620000,0.200000
51.0,19.627500,0.196100
52.0,19.634600,0.192300
53.0,19.641500,0.188700
54.0,19.648100,0.185200
55.0,19.654500,0.181800
56.0,19.660700,0.178600
57.0,19.666700,0.175400
58.0,19.672400,0.172400
59.0,19.678000,0.169500
60.0,19.683300,0.166700
61.0,19.688500,0.163900
62.0,19.693500,0.161300
63.0,19.698400,0.158700
64.0,19.703100,0.156200
65.0,19.707700,0.153800
66.0,19.712100,0.151500
67.0,19.716400,0.149300
68.0,19.720600,0.147100
69.0,19.724600,0.144900
70.0,19.728600,0.142900
71.0,19.732400,0.140800
72.0,19.736100,0.138900
73.0,19.739700,0.137000
74.0,19.743200,0.135100
75.0,19.746700,0.133300
76.0,19.750000,0.131600
77.0,19.753200,0.129900
78.0,19.756400,0.128200
79.0,19.759500,0.126600
80.0,19.762500,0.125000
81.0,19.765400,0.123500
82.0,19.768300,0.122000
83.0,19.771100,0.120500
84.0,19.773800,0.119000
85.0,19.776500,0.117600
86.0,19.779100,0.116300
87.0,19.781600,0.114900
88.0,19.784100,0.113600
89.0,19.786500,0.112400
90.0,19.788900,0.111100
91.0,19.791200,0.109900
92.0,19.793500,0.108700
93.0,19.795700,0.107500
94.0,19.797900,0.106400
95.0,19.800000,0.105300
96.0,19.802100,0.104200
97.0,19.804100,0.103100
98.0,19.806100,0.102000
99.0,19.808100,0.101000
100.0,19.810000,0.100000
101.0,19.811900,0.099000
102.0,19.813700,0.098000
103.0,19.815500,0.097100
104.0,19.817300,0.096200
105.0,19.819000,0.095200
106.0,19.820800,0.094300
107.0,19.822400,0.093500
108.0,19.824100,0.092600
109.0,19.825700,0.091700
110.0,19.827300,0.090900
111.0,19.828800,0.090100
112.0,19.830400,0.089300
113.0,19.831900,0.088500
114.0,19.833300,0.087700
115.0,19.834800,0.087000
116.0,19.836200,0.086200
117.0,19.837600,0.085500
118.0,19.839000,0.084700
119.0,19.840300,0.084000
120.0,19.841700,0.083300
121.0,19.843000,0.082600
122.0,19.844300,0.082000
123.0,19.845500,0.081300
124.0,19.846800,0.080600
125.0,19.848000,0.080000
126.0,19.849200,0.079400
127.0,19.850400,0.078700
128.0,19.851600,0.078100
129.0,19.852700,0.077500
130.0,19.853800,0.076900
131.0,19.855000,0.076300
132.0,19.856100,0.075800
133.0,19.857100,0.075200
134.0,19.858200,0.074600
135.0,19.837000,0.081500
136.0,19.838200,0.080900
137.0,19.839400,0.080300
138.0,19.840600,0.079700
139.0,19.841700,0.079100
140.0,19.842900,0.078600
141.0,19.844000,0.078000
142.0,19.845100,0.077500
143.0,19.846200,0.076900
144.0,19.847200,0.076400
145.0,19.848300,0.075900
146.0,19.849300,0.075300
147.0,19.850300,0.074800
148.0,19.851400,0.074300
149.0,19.852300,0.073800
150.0,19.853300,0.073300
151.0,19.854300,0.072800
152.0,19.855300,0.072400
153.0,19.856200,0.071900
154.0,19.857100,0.071400
155.0,19.858100,0.071000
156.0,19.859000,0.070500
157.0,19.859900,0.070100
158.0,19.860800,0.069600
159.0,19.861600,0.069200
160.0,19.862500,0.068800
161.0,19.863400,0.068300
162.0,19.864200,0.067900
163.0,19.865000,0.067500
164.0,19.865900,0.067100
165.0,19.866700,0.066700
166.0,19.867500,0.066300
167.0,19.868300,0.065900
168.0,19.869000,0.065500
169.0,19.869800,0.065100
170.0,19.870600,0.064700
171.0,19.871300,0.064300
172.0,19.872100,0.064000
173.0,19.872800,0.063600
174.0,19.873600,0.063200
175.0,19.874300,0.062900
176.0,19.875000,0.062500
177.0,19.875700,0.062100
178.0,19.876400,0.061800
179.0,19.877100,0.061500
180.0,19.877800,0.061100
181.0,19.878500,0.060800
182.0,19.879100,0.060400
183.0,19.879800,0.060100
184.0,19.880400,0.059800
185.0,19.881100,0.059500
186.0,19.881700,0.059100
187.0,19.882400,0.058800
188.0,19.883000,0.058500
189.0,19.883600,0.058200
190.0,19.884200,0.057900
191.0,19.884800,0.057600
192.0,19.885400,0.057300
193.0,19.886000,0.057000
194.0,19.886600,0.056700
195.0,19.887200,0.056400
196.0,19.887800,0.056100
197.0,19.888300,0.055800
198.0,19.888900,0.055600
