# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
1.0,17.160000,0.190000,0.120000
2.0,16.590000,0.205000,0.125000
3.0,16.473300,0.216700,0.153300
4.0,16.602500,0.210000,0.170000
5.0,16.714000,0.202000,0.172000
6.0,16.643300,0.208300,0.171700
7.0,16.680000,0.205700,0.168600
8.0,16.666300,0.205000,0.167500
9.0,16.638900,0.206700,0.171100
10.0,16.667000,0.204000,0.176000
11.0,16.665500,0.204500,0.175500
12.0,16.686700,0.203300,0.175800
13.0,16.664600,0.203800,0.178500
14.0,16.664300,0.205700,0.177900
15.0,16.532700,0.215300,0.175300
16.0,16.365000,0.226900,0.175600
17.0,16.269400,0.234100,0.178200
18.0,16.132800,0.244400,0.180000
19.0,15.940000,0.258900,0.177400
20.0,15.846000,0.266500,0.176000
21.0,15.693300,0.277100,0.173300
22.0,15.562700,0.286800,0.170900
23.0,15.429600,0.297400,0.177000
24.0,15.270800,0.309200,0.175800
25.0,15.096800,0.321600,0.178000
26.0,14.980400,0.330400,0.181200
27.0,14.845200,0.340000,0.180400
28.0,14.679300,0.352100,0.182100
29.0,14.557900,0.361000,0.183400
30.0,14.386700,0.373300,0.184700
31.0,14.305800,0.379700,0.183200
32.0,14.172200,0.389400,0.185000
33.0,14.023000,0.400300,0.186400
34.0,13.909100,0.408800,0.188200
35.0,13.790600,0.417700,0.190300
36.0,13.651100,0.427800,0.188600
37.0,13.532200,0.436500,0.188100
38.0,13.421100,0.445300,0.190300
39.0,13.319700,0.452800,0.189500
40.0,13.227800,0.459500,0.189300
41.0,13.140500,0.466300,0.188500
42.0,13.064000,0.472100,0.187400
43.0,12.972300,0.478800,0.188800
44.0,12.910900,0.483600,0.188900
45.0,12.822700,0.490200,0.190700
46.0,12.737200,0.496700,0.189800
47.0,12.667700,0.501900,0.188100
48.0,12.600000,0.506900,0.189800
49.0,12.515100,0.513100,0.189400
50.0,12.437600,0.519200,0.191600
51.0,12.362200,0.524700,0.192000
52.0,12.292900,0.529800,0.192100
53.0,12.216000,0.535800,0.190900
54.0,12.145900,0.540900,0.190200
55.0,12.078900,0.545600,0.190400
56.0,12.015400,0.550500,0.190000
57.0,11.948900,0.555300,0.189500
58.0,11.890500,0.559700,0.189800
59.0,11.825600,0.564400,0.190300
60.0,11.761800,0.569200,0.190800
61.0,11.708000,0.573300,0.190700
62.0,11.655600,0.577300,0.191100
63.0,11.590500,0.582200,0.190200
64.0,11.555200,0.584800,0.189800
65.0,11.505400,0.588500,0.190500
66.0,11.452300,0.592400,0.190900
67.0,11.387500,0.597200,0.190400
68.0,11.325100,0.601600,0.190100
69.0,11.277700,0.605200,0.190300
70.0,11.225300,0.609000,0.190300
71.0,11.182500,0.612100,0.190300
72.0,11.143900,0.615300,0.191700
73.0,11.099300,0.618800,0.191100
74.0,11.054700,0.622000,0.190400
75.0,11.009900,0.625300,0.190700
76.0,10.965000,0.628600,0.189900
77.0,10.924000,0.631400,0.190000
78.0,10.881900,0.634500,0.189900
79.0,10.842000,0.637500,0.191300
80.0,10.801500,0.640600,0.191300
