# time step,model 3 true rewards,random true rewards
199.0,2.250800,2.467400
200.0,2.242200,2.456000
201.0,2.233600,2.444800
202.0,2.225100,2.433600
203.0,2.216700,2.422800
204.0,2.208300,2.411900
205.0,2.200000,2.400800
206.0,2.191800,2.389900
207.0,2.183500,2.378600
208.0,2.175400,2.367800
209.0,2.167300,2.357400
210.0,2.159300,2.346700
211.0,2.151300,2.336400
212.0,2.143400,2.326200
213.0,2.135600,2.315500
214.0,2.127800,2.305400
215.0,2.120000,2.295800
216.0,2.112300,2.285900
217.0,2.104700,2.276400
218.0,2.097100,2.266600
219.0,2.089500,2.257000
220.0,2.082000,2.247200
221.0,2.074600,2.237800
222.0,2.067200,2.228400
223.0,2.059900,2.218900
224.0,2.052600,2.209200
225.0,2.045300,2.199900
226.0,2.038100,2.190700
227.0,2.030900,2.181500
228.0,2.023800,2.172500
229.0,2.016800,2.163200
230.0,2.009700,2.154000
231.0,2.002800,2.145000
232.0,1.995800,2.136100
233.0,1.988900,2.127400
234.0,1.982100,2.118800
235.0,1.975300,2.110300
236.0,1.968500,2.101700
237.0,1.961800,2.093100
238.0,1.955100,2.084700
239.0,1.948500,2.076400
240.0,1.941900,2.068100
241.0,1.935300,2.059800
242.0,1.928800,2.051800
243.0,1.922400,2.043600
244.0,1.916000,2.035500
245.0,1.909600,2.027300
246.0,1.903200,2.019300
247.0,1.896900,2.011400
248.0,1.890700,2.003500
249.0,1.884400,1.995700
250.0,1.878200,1.988200
251.0,1.872100,1.980600
252.0,1.866000,1.973000
253.0,1.859900,1.965300
254.0,1.853900,1.957800
255.0,1.847800,1.950400
256.0,1.841900,1.942900
257.0,1.835900,1.935500
258.0,1.830000,1.928300
259.0,1.824200,1.921100
260.0,1.818300,1.914000
261.0,1.812500,1.907000
262.0,1.806700,1.900000
263.0,1.801000,1.892900
264.0,1.795300,1.885900
265.0,1.789600,1.879100
266.0,1.784000,1.872300
267.0,1.778400,1.865400
268.0,1.772800,1.858700
269.0,1.767200,1.851800
270.0,1.761700,1.845000
271.0,1.756300,1.838500
272.0,1.750800,1.831800
273.0,1.745400,1.825200
274.0,1.740000,1.818600
275.0,1.734600,1.812100
276.0,1.729300,1.805700
277.0,1.724000,1.799300
278.0,1.718700,1.793000
279.0,1.713500,1.786700
280.0,1.708200,1.780500
281.0,1.703100,1.774200
282.0,1.697900,1.768000
283.0,1.692800,1.761800
284.0,1.687700,1.755600
285.0,1.682600,1.749600
286.0,1.677500,1.743600
287.0,1.672500,1.737600
288.0,1.667500,1.731700
289.0,1.662500,1.725700
290.0,1.657600,1.719800
291.0,1.652700,1.714100
292.0,1.647800,1.708300
293.0,1.642900,1.702600
294.0,1.638100,1.696800
295.0,1.633300,1.691200
296.0,1.628500,1.685500
297.0,1.623700,1.679900
298.0,1.619000,1.674300
299.0,1.614300,1.668800
300.0,1.609600,1.663400
301.0,1.604900,1.658000
302.0,1.600200,1.652500
303.0,1.595600,1.647100
304.0,1.591000,1.641800
305.0,1.586500,1.636400
306.0,1.581900,1.631100
307.0,1.577400,1.625900
308.0,1.572900,1.620700
309.0,1.568400,1.615500
310.0,1.564000,1.610300
311.0,1.559500,1.605200
312.0,1.555100,1.600100
313.0,1.550700,1.595100
314.0,1.546400,1.590100
315.0,1.542000,1.585000
316.0,1.537700,1.580100
317.0,1.533400,1.575100
318.0,1.529200,1.570200
319.0,1.524900,1.565300
320.0,1.520700,1.560500
321.0,1.516500,1.555600
322.0,1.512300,1.550800
323.0,1.508200,1.546000
324.0,1.504000,1.541200
325.0,1.499900,1.536500
326.0,1.495800,1.531800
327.0,1.491700,1.527200
328.0,1.487700,1.522600
329.0,1.483700,1.518000
330.0,1.479600,1.513500
331.0,1.475700,1.508900
332.0,1.471700,1.504300
333.0,1.467700,1.499800
334.0,1.463800,1.495400
335.0,1.459900,1.491000
336.0,1.456000,1.486600
337.0,1.452100,1.482300
338.0,1.448200,1.477900
339.0,1.444400,1.473500
340.0,1.440600,1.469200
341.0,1.436800,1.464900
342.0,1.433000,1.460600
343.0,1.429200,1.456400
344.0,1.425500,1.452200
345.0,1.421800,1.448000
346.0,1.418100,1.444000
347.0,1.414400,1.439800
348.0,1.410700,1.435700
349.0,1.407000,1.431600
350.0,1.403400,1.427500
351.0,1.399800,1.423500
352.0,1.396200,1.419400
353.0,1.392600,1.415400
354.0,1.389000,1.411500
355.0,1.385500,1.407600
356.0,1.381900,1.403600
357.0,1.378400,1.399700
358.0,1.374900,1.395800
359.0,1.371400,1.391900
360.0,1.367900,1.388100
361.0,1.364500,1.384200
362.0,1.361000,1.380400
363.0,1.357600,1.376600
364.0,1.354200,1.372900
365.0,1.350800,1.369100
366.0,1.347500,1.365400
367.0,1.344100,1.361700
368.0,1.340800,1.358000
369.0,1.337400,1.354300
370.0,1.334100,1.350600
371.0,1.330800,1.347000
372.0,1.327500,1.343400
373.0,1.324300,1.339800
374.0,1.321000,1.336200
375.0,1.317800,1.332600
376.0,1.314600,1.329100
377.0,1.311400,1.325600
378.0,1.308200,1.322100
379.0,1.305000,1.318700
380.0,1.301800,1.315200
381.0,1.298700,1.311800
382.0,1.295500,1.308300
383.0,1.292400,1.304900
384.0,1.289300,1.301600
385.0,1.286200,1.298200
386.0,1.283100,1.294800
387.0,1.280000,1.291500
388.0,1.277000,1.288200
389.0,1.273900,1.284900
390.0,1.270900,1.281600
391.0,1.267900,1.278300
392.0,1.264900,1.275100
393.0,1.261900,1.271800
394.0,1.258900,1.268600
395.0,1.256000,1.265400
396.0,1.253000,1.262200
397.0,1.250100,1.259000
398.0,1.247100,1.255900
399.0,1.244200,1.252700
400.0,1.241300,1.249600
401.0,1.238500,1.246500
402.0,1.235600,1.243400
403.0,1.232700,1.240300
404.0,1.229900,1.237300
405.0,1.227100,1.234200
406.0,1.224200,1.231200
407.0,1.221400,1.228200
408.0,1.218600,1.225200
409.0,1.215900,1.222200
410.0,1.213100,1.219200
411.0,1.210300,1.216300
412.0,1.207600,1.213300
413.0,1.204800,1.210400
414.0,1.202100,1.207500
415.0,1.199400,1.204600
416.0,1.196700,1.201700
417.0,1.194000,1.198800
418.0,1.191300,1.196000
419.0,1.188700,1.193100
420.0,1.186000,1.190300
421.0,1.183400,1.187400
422.0,1.180700,1.184600
423.0,1.178100,1.181800
424.0,1.175500,1.179100
425.0,1.172900,1.176300
426.0,1.170300,1.173500
427.0,1.167700,1.170800
428.0,1.165200,1.168100
429.0,1.162600,1.165300
430.0,1.160100,1.162600
431.0,1.157500,1.159900
432.0,1.155000,1.157200
433.0,1.152500,1.154600
434.0,1.150000,1.151900
435.0,1.147500,1.149300
436.0,1.145000,1.146700
437.0,1.142500,1.144100
438.0,1.140100,1.141400
439.0,1.137600,1.138800
440.0,1.135200,1.136200
441.0,1.132800,1.133700
442.0,1.130300,1.131100
443.0,1.127900,1.128600
444.0,1.125500,1.126000
445.0,1.123100,1.123500
446.0,1.120700,1.121000
447.0,1.118400,1.118500
448.0,1.116000,1.116000
449.0,1.113600,1.113500
450.0,1.111300,1.111000
451.0,1.109000,1.108600
452.0,1.106600,1.106100
453.0,1.104300,1.103700
454.0,1.102000,1.101200
455.0,1.099700,1.098800
456.0,1.097400,1.096400
457.0,1.095100,1.094000
458.0,1.092900,1.091600
459.0,1.090600,1.089300
460.0,1.088400,1.086900
461.0,1.086100,1.084500
462.0,1.083900,1.082200
463.0,1.081600,1.079800
464.0,1.079400,1.077500
465.0,1.077200,1.075200
466.0,1.075000,1.072900
467.0,1.072800,1.070600
468.0,1.070700,1.068300
469.0,1.068500,1.066000
470.0,1.066300,1.063800
471.0,1.064200,1.061500
472.0,1.062000,1.059300
473.0,1.059900,1.057000
474.0,1.057700,1.054800
475.0,1.055600,1.052600
476.0,1.053500,1.050400
477.0,1.051400,1.048200
478.0,1.049300,1.046000
479.0,1.047200,1.043800
480.0,1.045100,1.041600
481.0,1.043000,1.039400
482.0,1.040900,1.037300
483.0,1.038900,1.035100
484.0,1.036800,1.033000
485.0,1.034700,1.030900
486.0,1.032700,1.028700
487.0,1.030700,1.026600
488.0,1.028600,1.024500
489.0,1.026600,1.022400
490.0,1.024600,1.020300
491.0,1.022600,1.018300
492.0,1.020600,1.016200
493.0,1.018600,1.014100
494.0,1.016600,1.012100
495.0,1.014700,1.010000
496.0,1.012700,1.008000
497.0,1.010700,1.006000
498.0,1.008800,1.004000
499.0,1.006800,1.001900
