# time step,model 2 server believed rewards, model 2 true rewards, random true rewards
167.0,19.736500,0.209600,0.201300
168.0,19.738100,0.208300,0.201200
169.0,19.739600,0.213000,0.200700
170.0,19.741200,0.211800,0.201100
171.0,19.742700,0.210500,0.201500
172.0,19.744200,0.209300,0.201500
173.0,19.745700,0.213900,0.201600
174.0,19.747100,0.212600,0.201700
175.0,19.748600,0.211400,0.201900
176.0,19.750000,0.210200,0.201900
177.0,19.751400,0.209000,0.202200
178.0,19.752800,0.213500,0.202400
179.0,19.754200,0.212300,0.202100
180.0,19.755600,0.211100,0.202000
181.0,19.756900,0.209900,0.201900
182.0,19.758200,0.208800,0.202200
183.0,19.759600,0.213100,0.202200
184.0,19.760900,0.212000,0.202000
185.0,19.762200,0.210800,0.201900
186.0,19.763400,0.209700,0.201900
187.0,19.764700,0.213900,0.201900
188.0,19.766000,0.212800,0.202200
189.0,19.767200,0.211600,0.202200
190.0,19.768400,0.210500,0.202200
191.0,19.769600,0.209400,0.202300
192.0,19.770800,0.213500,0.202100
193.0,19.772000,0.212400,0.202100
194.0,19.773200,0.211300,0.202100
195.0,19.774400,0.210300,0.201800
196.0,19.775500,0.214300,0.201500
197.0,19.776600,0.213200,0.201100
198.0,19.777800,0.212100,0.201100
199.0,19.778900,0.211100,0.201100
200.0,19.780000,0.210000,0.201200
201.0,19.781100,0.213900,0.201300
202.0,19.782200,0.212900,0.201400
203.0,19.783300,0.211800,0.201300
204.0,19.784300,0.210800,0.201700
205.0,19.770700,0.214600,0.201900
206.0,19.771800,0.213600,0.202000
207.0,19.772900,0.212600,0.202300
208.0,19.774000,0.211500,0.202300
209.0,19.775100,0.210500,0.202200
210.0,19.761900,0.214300,0.202500
211.0,19.763000,0.213300,0.202300
212.0,19.764200,0.212300,0.202300
213.0,19.765300,0.211300,0.202100
214.0,19.766400,0.210300,0.202000
215.0,19.767400,0.209300,0.202100
216.0,19.759300,0.213000,0.202000
217.0,19.760400,0.212000,0.202100
218.0,19.761500,0.211000,0.202100
219.0,19.762600,0.210000,0.202400
220.0,19.763600,0.213600,0.202500
221.0,19.764700,0.212700,0.202500
222.0,19.765800,0.211700,0.202100
223.0,19.766800,0.210800,0.202000
224.0,19.767900,0.209800,0.202100
225.0,19.764400,0.213300,0.201800
226.0,19.765500,0.212400,0.201800
227.0,19.766500,0.211500,0.201800
228.0,19.767500,0.210500,0.201900
229.0,19.768600,0.214000,0.201600
230.0,19.769600,0.213000,0.201600
231.0,19.770600,0.212100,0.201900
232.0,19.771600,0.211200,0.202100
233.0,19.772500,0.210300,0.201900
234.0,19.773500,0.213700,0.201800
235.0,19.774500,0.212800,0.202200
236.0,19.775400,0.211900,0.202200
237.0,19.776400,0.211000,0.202200
238.0,19.777300,0.214300,0.202300
239.0,19.778200,0.213400,0.202300
240.0,19.779200,0.212500,0.202200
241.0,19.780100,0.211600,0.202100
242.0,19.781000,0.210700,0.202100
243.0,19.781900,0.214000,0.202500
244.0,19.782800,0.213100,0.202800
245.0,19.783700,0.212200,0.203000
246.0,19.784600,0.211400,0.202800
247.0,19.785400,0.210500,0.202700
248.0,19.786300,0.213700,0.202600
249.0,19.787100,0.212900,0.202900
250.0,19.788000,0.212000,0.203000
251.0,19.788800,0.211200,0.203100
252.0,19.789700,0.214300,0.202900
253.0,19.790500,0.213400,0.202800
254.0,19.791300,0.212600,0.202800
255.0,19.792200,0.211800,0.203100
256.0,19.793000,0.210900,0.203200
257.0,19.793800,0.214000,0.203200
258.0,19.794600,0.213200,0.203000
259.0,19.795400,0.212400,0.203000
260.0,19.796200,0.211500,0.203200
261.0,19.796900,0.214600,0.203400
262.0,19.797700,0.213700,0.203500
263.0,19.798500,0.212900,0.203700
264.0,19.799200,0.212100,0.203600
265.0,19.800000,0.211300,0.203500
266.0,19.800800,0.214300,0.203500
267.0,19.801500,0.213500,0.203300
268.0,19.802200,0.212700,0.203400
269.0,19.803000,0.211900,0.203300
270.0,19.788900,0.214800,0.203300
271.0,19.789700,0.214000,0.203100
272.0,19.790400,0.213200,0.203000
273.0,19.791200,0.212500,0.202900
274.0,19.792000,0.211700,0.202700
275.0,19.785500,0.214500,0.202700
276.0,19.786200,0.213800,0.203000
277.0,19.787000,0.213000,0.203000
278.0,19.787800,0.212200,0.202900
279.0,19.788500,0.211500,0.203000
280.0,19.785700,0.214300,0.203100
281.0,19.786500,0.213500,0.203100
282.0,19.787200,0.212800,0.202900
283.0,19.788000,0.212000,0.203000
284.0,19.788700,0.211300,0.203200
285.0,19.789500,0.214000,0.203200
286.0,19.790200,0.213300,0.203100
287.0,19.790900,0.212500,0.203200
288.0,19.791700,0.211800,0.203400
289.0,19.788900,0.214500,0.203300
290.0,19.789700,0.213800,0.203100
291.0,19.790400,0.213100,0.203100
292.0,19.791100,0.212300,0.202900
293.0,19.791800,0.211600,0.202800
294.0,19.792500,0.214300,0.203000
295.0,19.793200,0.213600,0.202800
296.0,19.793900,0.212800,0.202900
297.0,19.794600,0.212100,0.203100
298.0,19.795300,0.214800,0.203100
299.0,19.796000,0.214000,0.203200
300.0,19.796700,0.213300,0.203100
301.0,19.797300,0.212600,0.202900
302.0,19.798000,0.211900,0.202800
303.0,19.798700,0.214500,0.202800
304.0,19.799300,0.213800,0.202900
305.0,19.800000,0.213100,0.203000
306.0,19.800700,0.212400,0.203000
307.0,19.801300,0.215000,0.203100
308.0,19.801900,0.214300,0.203100
309.0,19.802600,0.213600,0.203100
310.0,19.803200,0.212900,0.203000
311.0,19.803900,0.212200,0.203000
312.0,19.804500,0.214700,0.203000
313.0,19.805100,0.214100,0.203000
314.0,19.805700,0.213400,0.202900
315.0,19.806300,0.212700,0.203100
316.0,19.807000,0.215200,0.203100
317.0,19.807600,0.214500,0.203100
318.0,19.808200,0.213800,0.203200
319.0,19.808800,0.213200,0.203300
320.0,19.809400,0.212500,0.203500
321.0,19.810000,0.215000,0.203300
322.0,19.810600,0.214300,0.203100
323.0,19.811100,0.213600,0.203100
324.0,19.811700,0.213000,0.203200
325.0,19.812300,0.212300,0.203400
326.0,19.812900,0.214700,0.203500
327.0,19.813500,0.214100,0.203600
328.0,19.814000,0.213400,0.203500
329.0,19.814600,0.212800,0.203600
330.0,19.815200,0.215200,0.203500
331.0,19.815700,0.214500,0.203700
332.0,19.816300,0.213900,0.203600
333.0,19.816800,0.213200,0.203700
334.0,19.817400,0.212600,0.203700
335.0,19.817900,0.214900,0.203900
336.0,19.818500,0.214300,0.203900
337.0,19.819000,0.213600,0.203900
338.0,19.819500,0.213000,0.204000
339.0,19.820100,0.215300,0.204100
340.0,19.820600,0.214700,0.204100
341.0,19.821100,0.214100,0.204000
342.0,19.821600,0.213500,0.204000
343.0,19.822200,0.212800,0.203800
344.0,19.814000,0.215100,0.204000
345.0,19.814500,0.214500,0.203900
346.0,19.815000,0.213900,0.203800
347.0,19.815600,0.213300,0.203800
348.0,19.816100,0.215500,0.203800
349.0,19.816600,0.214900,0.203800
350.0,19.817100,0.214300,0.203800
351.0,19.817700,0.213700,0.203800
352.0,19.818200,0.213100,0.203700
353.0,19.818700,0.212500,0.203500
354.0,19.807900,0.214700,0.203600
355.0,19.808500,0.214100,0.203600
356.0,19.809000,0.213500,0.203600
357.0,19.809500,0.212900,0.203500
358.0,19.810100,0.212300,0.203300
359.0,19.810600,0.214500,0.203300
360.0,19.811100,0.213900,0.203100
361.0,19.811600,0.213300,0.203100
362.0,19.812200,0.212700,0.203100
363.0,19.812700,0.214900,0.203200
364.0,19.813200,0.214300,0.203400
365.0,19.813700,0.213700,0.203400
366.0,19.814200,0.213100,0.203600
367.0,19.814700,0.212500,0.203500
368.0,19.815200,0.214700,0.203500
369.0,19.815700,0.214100,0.203400
370.0,19.816200,0.213500,0.203300
371.0,19.816700,0.212900,0.203300
372.0,19.817200,0.215100,0.203400
373.0,19.817700,0.214500,0.203400
374.0,19.818200,0.213900,0.203400
375.0,19.818700,0.213300,0.203300
376.0,19.819100,0.212800,0.203500
377.0,19.817000,0.214900,0.203500
378.0,19.817500,0.214300,0.203600
379.0,19.817900,0.213700,0.203600
380.0,19.818400,0.213200,0.203600
381.0,19.818900,0.215200,0.203500
382.0,19.819400,0.214700,0.203500
383.0,19.819800,0.214100,0.203700
384.0,19.820300,0.213500,0.203600
385.0,19.820800,0.213000,0.203600
386.0,19.821200,0.215000,0.203700
387.0,19.821700,0.214500,0.203900
388.0,19.822200,0.213900,0.204000
389.0,19.822600,0.213400,0.204000
390.0,19.823100,0.212800,0.203900
391.0,19.821000,0.214800,0.203900
392.0,19.821400,0.214300,0.204000
393.0,19.821900,0.213700,0.203800
394.0,19.822300,0.213200,0.203800
395.0,19.822800,0.215200,0.203700
396.0,19.823200,0.214600,0.203800
397.0,19.823700,0.214100,0.203800
398.0,19.824100,0.213600,0.203700
399.0,19.824600,0.213000,0.203800
400.0,19.825000,0.215000,0.203600
401.0,19.825400,0.214500,0.203400
402.0,19.825900,0.213900,0.203400
403.0,19.826300,0.213400,0.203500
404.0,19.826700,0.215300,0.203400
405.0,19.827200,0.214800,0.203400
406.0,19.827600,0.214300,0.203300
407.0,19.828000,0.213800,0.203200
408.0,19.828400,0.213200,0.203300
409.0,19.828900,0.215200,0.203300
410.0,19.829300,0.214600,0.203200
411.0,19.829700,0.214100,0.203200
412.0,19.830100,0.213600,0.203000
413.0,19.830500,0.215500,0.202900
414.0,19.830900,0.215000,0.202900
415.0,19.831300,0.214500,0.202900
416.0,19.831700,0.213900,0.203100
417.0,19.832100,0.213400,0.203000
418.0,19.832500,0.215300,0.202900
419.0,19.832900,0.214800,0.202700
420.0,19.833300,0.214300,0.202900
421.0,19.833700,0.213800,0.203000
422.0,19.834100,0.215600,0.203100
423.0,19.834500,0.215100,0.203200
424.0,19.834900,0.214600,0.203100
425.0,19.835300,0.214100,0.203000
426.0,19.835700,0.213600,0.203100
427.0,19.826700,0.215500,0.203000
428.0,19.827100,0.215000,0.203100
429.0,19.827500,0.214500,0.203100
430.0,19.827900,0.214000,0.203200
431.0,19.828300,0.213500,0.203200
432.0,19.828700,0.215300,0.203300
433.0,19.829100,0.214800,0.203200
434.0,19.829500,0.214300,0.203100
435.0,19.829900,0.213800,0.203100
436.0,19.825700,0.215600,0.203200
437.0,19.826100,0.215100,0.203200
438.0,19.826500,0.214600,0.203200
439.0,19.826900,0.214100,0.203300
440.0,19.827300,0.213600,0.203200
441.0,19.827700,0.215400,0.203300
442.0,19.828100,0.214900,0.203200
443.0,19.828400,0.214400,0.203300
444.0,19.828800,0.214000,0.203300
445.0,19.829200,0.213500,0.203300
446.0,19.829600,0.215200,0.203200
447.0,19.830000,0.214800,0.203300
448.0,19.830400,0.214300,0.203300
449.0,19.830700,0.213800,0.203100
450.0,19.831100,0.215600,0.203100
451.0,19.831500,0.215100,0.203100
452.0,19.831900,0.214600,0.203100
453.0,19.832200,0.214100,0.203200
454.0,19.832600,0.213700,0.203100
455.0,19.833000,0.215400,0.203100
456.0,19.833300,0.214900,0.203000
457.0,19.833700,0.214400,0.202900
458.0,19.834100,0.214000,0.202700
459.0,19.834400,0.215700,0.202800
460.0,19.834800,0.215200,0.202800
461.0,19.835100,0.214800,0.202800
462.0,19.835500,0.214300,0.202600
463.0,19.835900,0.213800,0.202600
464.0,19.836200,0.215500,0.202600
465.0,19.836600,0.215100,0.202700
466.0,19.836900,0.214600,0.202800
467.0,19.837300,0.214100,0.202900
468.0,19.837600,0.215800,0.202900
469.0,19.838000,0.215400,0.202800
470.0,19.838300,0.214900,0.202900
471.0,19.838600,0.214400,0.203000
472.0,19.839000,0.214000,0.202900
473.0,19.839300,0.215600,0.202800
474.0,19.839700,0.215200,0.202800
475.0,19.840000,0.214700,0.202900
476.0,19.840300,0.214300,0.202900
477.0,19.840700,0.215900,0.202900
478.0,19.841000,0.215500,0.203000
479.0,19.841300,0.215000,0.203200
480.0,19.841700,0.214600,0.203200
481.0,19.842000,0.214100,0.203100
482.0,19.842300,0.215800,0.203000
483.0,19.842700,0.215300,0.202900
484.0,19.843000,0.214900,0.203000
485.0,19.843300,0.214400,0.203000
486.0,19.843600,0.216000,0.202900
487.0,19.843900,0.215600,0.203000
488.0,19.844300,0.215200,0.203000
489.0,19.844600,0.214700,0.203000
490.0,19.844900,0.214300,0.203000
491.0,19.845200,0.215900,0.203000
492.0,19.845500,0.215400,0.203000
493.0,19.845800,0.215000,0.203100
494.0,19.846200,0.214600,0.203000
495.0,19.846500,0.214100,0.203000
496.0,19.846800,0.215700,0.202900
497.0,19.847100,0.215300,0.203000
498.0,19.847400,0.214900,0.203000
499.0,19.847700,0.214400,0.202900
500.0,19.846000,0.216000,0.203000
501.0,19.846300,0.215600,0.203100
502.0,19.846600,0.215100,0.203100
503.0,19.846900,0.214700,0.203100
504.0,19.847200,0.214300,0.203200
505.0,19.847500,0.215800,0.203100
506.0,19.847800,0.215400,0.203100
507.0,19.848100,0.215000,0.203200
508.0,19.848400,0.214600,0.203200
509.0,19.848700,0.216100,0.203200
510.0,19.849000,0.215700,0.203100
511.0,19.849300,0.215300,0.203200
512.0,19.849600,0.214800,0.203100
513.0,19.849900,0.214400,0.203000
514.0,19.848200,0.216000,0.203100
515.0,19.848500,0.215500,0.203000
516.0,19.848800,0.215100,0.203000
517.0,19.849100,0.214700,0.203100
518.0,19.849400,0.216200,0.203200
