# time step,model 3 true rewards,random true rewards
199.0,9.975300,10.014400
200.0,9.975200,10.014700
201.0,9.975200,10.015600
202.0,9.975200,10.016900
203.0,9.975100,10.016400
204.0,9.975100,10.016500
205.0,9.975100,10.016000
206.0,9.975100,10.017400
207.0,9.975000,10.016900
208.0,9.975000,10.017000
209.0,9.975000,10.017500
210.0,9.975000,10.017400
211.0,9.974900,10.018100
212.0,9.974900,10.016200
213.0,9.974900,10.016600
214.0,9.974900,10.016400
215.0,9.974900,10.017300
216.0,9.974800,10.018600
217.0,9.974800,10.017600
218.0,9.974800,10.018300
219.0,9.974800,10.018700
220.0,9.974700,10.019900
221.0,9.974700,10.020300
222.0,9.974700,10.020100
223.0,9.974700,10.020200
224.0,9.974600,10.021700
225.0,9.974600,10.022500
226.0,9.974600,10.022000
227.0,9.974600,10.020800
228.0,9.974500,10.020400
229.0,9.974500,10.018400
230.0,9.974500,10.019100
231.0,9.974500,10.018100
232.0,9.974400,10.018700
233.0,9.974400,10.019000
234.0,9.974400,10.018700
235.0,9.974400,10.018800
236.0,9.974400,10.019400
237.0,9.974300,10.019200
238.0,9.974300,10.019000
239.0,9.974300,10.019000
240.0,9.974300,10.017500
241.0,9.974200,10.018400
242.0,9.974200,10.018100
243.0,9.974200,10.018600
244.0,9.974200,10.017300
245.0,9.974100,10.016400
246.0,9.974100,10.017600
247.0,9.974100,10.019400
248.0,9.974100,10.019000
249.0,9.974000,10.019100
250.0,9.974000,10.019700
251.0,9.974000,10.018200
252.0,9.974000,10.018600
253.0,9.974000,10.017900
254.0,9.973900,10.018000
255.0,9.973900,10.017600
256.0,9.973900,10.016200
257.0,9.973900,10.015100
258.0,9.973800,10.016800
259.0,9.973800,10.015000
260.0,9.973800,10.015300
261.0,9.973800,10.014600
262.0,9.973800,10.014800
263.0,9.973800,10.014000
264.0,9.973700,10.013000
265.0,9.973700,10.013000
266.0,9.973700,10.013000
267.0,9.973700,10.012700
268.0,9.973700,10.013600
269.0,9.973700,10.013200
270.0,9.973700,10.012900
271.0,9.973600,10.012800
272.0,9.973600,10.011900
273.0,9.973600,10.012900
274.0,9.973600,10.013000
275.0,9.973600,10.012100
276.0,9.973600,10.012200
277.0,9.973600,10.012400
278.0,9.973600,10.012000
279.0,9.973600,10.010900
280.0,9.973600,10.010300
281.0,9.973500,10.009300
282.0,9.973500,10.010600
283.0,9.973500,10.010400
284.0,9.973500,10.011000
285.0,9.973500,10.011500
286.0,9.973500,10.011800
287.0,9.973500,10.013000
288.0,9.973500,10.012200
289.0,9.973500,10.011500
290.0,9.973500,10.011100
291.0,9.973400,10.010700
292.0,9.973400,10.009400
293.0,9.973400,10.010000
294.0,9.973400,10.009800
295.0,9.973400,10.010100
296.0,9.973400,10.010900
297.0,9.973400,10.010600
298.0,9.973400,10.009500
299.0,9.973400,10.009200
300.0,9.973300,10.008500
301.0,9.973300,10.008400
302.0,9.973300,10.008000
303.0,9.973300,10.009300
304.0,9.973300,10.009900
305.0,9.973300,10.009100
306.0,9.973300,10.010000
307.0,9.973300,10.010000
308.0,9.973300,10.009600
309.0,9.973200,10.010300
310.0,9.973200,10.010000
311.0,9.973200,10.009900
312.0,9.973200,10.010200
313.0,9.973200,10.010000
314.0,9.973200,10.010200
315.0,9.973200,10.011000
316.0,9.973200,10.011100
317.0,9.973200,10.009700
318.0,9.973200,10.010900
319.0,9.973200,10.010700
320.0,9.973200,10.010300
321.0,9.973200,10.011200
322.0,9.973100,10.011800
323.0,9.973100,10.011800
324.0,9.973100,10.011700
325.0,9.973100,10.012400
326.0,9.973100,10.011500
327.0,9.973100,10.011000
328.0,9.973100,10.010800
329.0,9.973100,10.011000
330.0,9.973100,10.011600
331.0,9.973100,10.011700
332.0,9.973100,10.011800
333.0,9.973100,10.010700
334.0,9.973100,10.010100
335.0,9.973000,10.009000
336.0,9.973000,10.009200
337.0,9.973000,10.008800
338.0,9.973000,10.008600
339.0,9.973000,10.008600
340.0,9.973000,10.009800
341.0,9.973000,10.008600
342.0,9.973000,10.009200
343.0,9.973000,10.008700
344.0,9.973000,10.009200
345.0,9.973000,10.010500
346.0,9.973000,10.009700
347.0,9.973000,10.010500
348.0,9.972900,10.010600
349.0,9.972900,10.010900
350.0,9.972900,10.011300
351.0,9.972900,10.011900
352.0,9.972900,10.011800
353.0,9.972900,10.011500
354.0,9.972900,10.011200
355.0,9.972900,10.009900
356.0,9.972900,10.009100
357.0,9.972900,10.008500
358.0,9.972900,10.008200
359.0,9.972900,10.008200
360.0,9.972900,10.008400
361.0,9.972900,10.009500
362.0,9.972800,10.009300
363.0,9.972800,10.009800
364.0,9.972800,10.008700
365.0,9.972800,10.008800
366.0,9.972800,10.008900
367.0,9.972800,10.009300
368.0,9.972800,10.010100
369.0,9.972800,10.010700
370.0,9.972800,10.011500
371.0,9.972800,10.011100
372.0,9.972800,10.011300
373.0,9.972800,10.011600
374.0,9.972800,10.012000
375.0,9.972800,10.012300
376.0,9.972800,10.012500
377.0,9.972800,10.012700
378.0,9.972800,10.012500
379.0,9.972700,10.013000
380.0,9.972700,10.012800
381.0,9.972700,10.012700
382.0,9.972700,10.011900
383.0,9.972700,10.013000
384.0,9.972700,10.012900
385.0,9.972700,10.013300
386.0,9.972700,10.012200
387.0,9.972700,10.012700
388.0,9.972700,10.012400
389.0,9.972700,10.013200
390.0,9.972700,10.013300
391.0,9.972700,10.013300
392.0,9.972700,10.012500
393.0,9.972700,10.012300
394.0,9.972700,10.012700
395.0,9.972700,10.012200
396.0,9.972700,10.012100
397.0,9.972700,10.011600
398.0,9.972700,10.011600
399.0,9.972700,10.011300
400.0,9.972700,10.010700
401.0,9.972700,10.011500
402.0,9.972700,10.012000
403.0,9.972700,10.011300
404.0,9.972700,10.011500
405.0,9.972700,10.012400
406.0,9.972700,10.011700
407.0,9.972700,10.012000
408.0,9.972700,10.012200
409.0,9.972700,10.012900
410.0,9.972700,10.013000
411.0,9.972700,10.012900
412.0,9.972700,10.012500
413.0,9.972700,10.011600
414.0,9.972700,10.011400
415.0,9.972700,10.011700
416.0,9.972700,10.011900
417.0,9.972700,10.010800
418.0,9.972700,10.010100
419.0,9.972700,10.010000
420.0,9.972700,10.010300
421.0,9.972700,10.011000
422.0,9.972700,10.011700
423.0,9.972700,10.011700
424.0,9.972700,10.012000
425.0,9.972700,10.011700
426.0,9.972700,10.011200
427.0,9.972700,10.011200
428.0,9.972700,10.011600
429.0,9.972700,10.011000
430.0,9.972700,10.010800
431.0,9.972700,10.010300
432.0,9.972700,10.010600
433.0,9.972700,10.010800
434.0,9.972700,10.010300
435.0,9.972700,10.009200
436.0,9.972700,10.009200
437.0,9.972700,10.010600
438.0,9.972700,10.010600
439.0,9.972700,10.010500
440.0,9.972700,10.011000
441.0,9.972700,10.011700
442.0,9.972700,10.011900
443.0,9.972700,10.011700
444.0,9.972700,10.010800
445.0,9.972700,10.010600
446.0,9.972700,10.011400
447.0,9.972700,10.010600
448.0,9.972700,10.010700
449.0,9.972700,10.010600
450.0,9.972700,10.010400
451.0,9.972700,10.010200
452.0,9.972700,10.010200
453.0,9.972800,10.010700
454.0,9.972800,10.010700
455.0,9.972800,10.009900
456.0,9.972800,10.010100
457.0,9.972800,10.010700
458.0,9.972800,10.010400
459.0,9.972800,10.010800
460.0,9.972800,10.011200
461.0,9.972800,10.011000
462.0,9.972800,10.011500
463.0,9.972800,10.010500
464.0,9.972800,10.011000
465.0,9.972800,10.010900
466.0,9.972800,10.011000
467.0,9.972800,10.010900
468.0,9.972800,10.011700
469.0,9.972800,10.011900
470.0,9.972800,10.011900
471.0,9.972800,10.012100
472.0,9.972800,10.012500
473.0,9.972800,10.012500
474.0,9.972800,10.012800
475.0,9.972800,10.012100
476.0,9.972800,10.012500
477.0,9.972800,10.012800
478.0,9.972800,10.012800
479.0,9.972800,10.013000
480.0,9.972800,10.012400
481.0,9.972800,10.011900
482.0,9.972800,10.011800
483.0,9.972800,10.011900
484.0,9.972800,10.011700
485.0,9.972800,10.011500
486.0,9.972800,10.011400
487.0,9.972800,10.011600
488.0,9.972800,10.011900
489.0,9.972800,10.011500
490.0,9.972800,10.011500
491.0,9.972800,10.011300
492.0,9.972800,10.011900
493.0,9.972800,10.012300
494.0,9.972800,10.011900
495.0,9.972800,10.010600
496.0,9.972800,10.010500
497.0,9.972800,10.011300
498.0,9.972800,10.011900
499.0,9.972800,10.011400
500.0,9.972800,10.011200
501.0,9.972800,10.011300
502.0,9.972800,10.011000
503.0,9.972800,10.010400
504.0,9.972800,10.010200
505.0,9.972800,10.009800
506.0,9.972800,10.010000
507.0,9.972800,10.010100
508.0,9.972800,10.010100
509.0,9.972800,10.010100
510.0,9.972800,10.010600
511.0,9.972800,10.010400
512.0,9.972800,10.010400
513.0,9.972800,10.010500
514.0,9.972800,10.010900
515.0,9.972800,10.010800
516.0,9.972900,10.010900
517.0,9.972900,10.009900
518.0,9.972900,10.010300
519.0,9.972900,10.010500
520.0,9.972900,10.010100
521.0,9.972900,10.010800
522.0,9.972900,10.010800
523.0,9.972900,10.010100
524.0,9.972900,10.009800
525.0,9.972900,10.009900
526.0,9.972900,10.010000
527.0,9.972900,10.010000
528.0,9.972900,10.010000
529.0,9.972900,10.009800
530.0,9.972900,10.010200
531.0,9.972900,10.010000
532.0,9.972900,10.010000
533.0,9.972900,10.010000
534.0,9.972900,10.010000
535.0,9.972900,10.009900
536.0,9.972900,10.009600
537.0,9.972900,10.008900
538.0,9.972900,10.008700
539.0,9.972900,10.008400
540.0,9.972900,10.008700
541.0,9.972900,10.009000
542.0,9.972900,10.009200
543.0,9.972900,10.009300
544.0,9.972900,10.009100
545.0,9.972900,10.009500
546.0,9.972900,10.009200
547.0,9.973000,10.008700
548.0,9.973000,10.008500
549.0,9.973000,10.008100
550.0,9.973000,10.007900
551.0,9.973000,10.007500
552.0,9.973000,10.007300
553.0,9.973000,10.007100
554.0,9.973000,10.006600
555.0,9.973000,10.006500
556.0,9.973000,10.006600
557.0,9.973000,10.006100
558.0,9.973000,10.006200
559.0,9.973000,10.006400
560.0,9.973000,10.005300
561.0,9.973000,10.005200
562.0,9.973000,10.005100
563.0,9.973000,10.004800
564.0,9.973000,10.005300
565.0,9.973000,10.005200
566.0,9.973000,10.005100
567.0,9.973000,10.005200
568.0,9.973000,10.005700
569.0,9.973000,10.005600
570.0,9.973000,10.005800
571.0,9.973000,10.005300
572.0,9.973000,10.005400
573.0,9.973000,10.005800
574.0,9.973000,10.005600
575.0,9.973000,10.005800
576.0,9.973000,10.006000
577.0,9.973000,10.006900
578.0,9.973000,10.007100
579.0,9.973100,10.006600
580.0,9.973100,10.006300
581.0,9.973100,10.005700
582.0,9.973100,10.005700
583.0,9.973100,10.006000
584.0,9.973100,10.005300
585.0,9.973100,10.004800
586.0,9.973100,10.004600
587.0,9.973100,10.004100
588.0,9.973100,10.004700
589.0,9.973100,10.004900
590.0,9.973100,10.004600
591.0,9.973100,10.003800
592.0,9.973100,10.004500
593.0,9.973100,10.004900
594.0,9.973100,10.005200
595.0,9.973100,10.005500
596.0,9.973100,10.005900
597.0,9.973100,10.006300
598.0,9.973100,10.006400
599.0,9.973200,10.006700
600.0,9.973200,10.006400
601.0,9.973200,10.006100
602.0,9.973200,10.005400
603.0,9.973200,10.005400
604.0,9.973200,10.005000
605.0,9.973200,10.004500
606.0,9.973200,10.004500
607.0,9.973200,10.004200
608.0,9.973200,10.003600
609.0,9.973200,10.003900
610.0,9.973200,10.004200
611.0,9.973200,10.003900
612.0,9.973200,10.003800
613.0,9.973200,10.003500
614.0,9.973200,10.003600
615.0,9.973200,10.003400
616.0,9.973200,10.003100
617.0,9.973200,10.003100
618.0,9.973200,10.003000
619.0,9.973200,10.002900
620.0,9.973200,10.003100
621.0,9.973200,10.003400
622.0,9.973200,10.003200
623.0,9.973300,10.002800
624.0,9.973300,10.003100
625.0,9.973300,10.002800
626.0,9.973300,10.002500
627.0,9.973300,10.001900
628.0,9.973300,10.002100
629.0,9.973300,10.001800
630.0,9.973300,10.001600
631.0,9.973300,10.001100
632.0,9.973300,10.001400
633.0,9.973300,10.001500
634.0,9.973300,10.001000
635.0,9.973300,10.001400
636.0,9.973300,10.001500
637.0,9.973300,10.000900
638.0,9.973300,10.001300
639.0,9.973300,10.001100
640.0,9.973300,10.001600
641.0,9.973400,10.002100
642.0,9.973400,10.002200
643.0,9.973400,10.002100
644.0,9.973400,10.002000
645.0,9.973400,10.001900
646.0,9.973400,10.002200
647.0,9.973400,10.002000
648.0,9.973400,10.002400
649.0,9.973400,10.001800
650.0,9.973400,10.001200
651.0,9.973400,10.000800
652.0,9.973400,10.000700
653.0,9.973400,10.001100
654.0,9.973400,10.000700
655.0,9.973400,10.001200
656.0,9.973400,10.001500
657.0,9.973400,10.001700
658.0,9.973500,10.002200
659.0,9.973500,10.001600
660.0,9.973500,10.001800
661.0,9.973500,10.001200
662.0,9.973500,10.001700
663.0,9.973500,10.001900
664.0,9.973500,10.001800
665.0,9.973500,10.001800
666.0,9.973500,10.001500
667.0,9.973500,10.001500
668.0,9.973500,10.001800
669.0,9.973500,10.002300
670.0,9.973500,10.002100
671.0,9.973500,10.001800
672.0,9.973500,10.001900
673.0,9.973500,10.001800
674.0,9.973500,10.002200
675.0,9.973500,10.002400
676.0,9.973500,10.002700
677.0,9.973500,10.002700
678.0,9.973500,10.002600
679.0,9.973500,10.002600
680.0,9.973500,10.002700
681.0,9.973500,10.002400
682.0,9.973500,10.002100
683.0,9.973500,10.001800
684.0,9.973500,10.001500
685.0,9.973600,10.002000
686.0,9.973600,10.001400
687.0,9.973600,10.001400
688.0,9.973600,10.001400
689.0,9.973600,10.002000
690.0,9.973600,10.001500
691.0,9.973600,10.000900
692.0,9.973600,10.000700
693.0,9.973600,10.000500
694.0,9.973600,10.000100
695.0,9.973600,10.000300
696.0,9.973600,10.000300
697.0,9.973600,10.000700
698.0,9.973600,10.000600
699.0,9.973600,10.000500
700.0,9.973600,10.000800
701.0,9.973600,10.001100
702.0,9.973600,10.001000
703.0,9.973600,10.000800
704.0,9.973600,10.000200
705.0,9.973600,10.000600
706.0,9.973600,10.000200
707.0,9.973600,10.000000
708.0,9.973600,10.000100
709.0,9.973600,10.000000
710.0,9.973600,9.999800
711.0,9.973600,9.999900
712.0,9.973600,10.000000
713.0,9.973600,9.999800
714.0,9.973600,10.000400
715.0,9.973700,10.000500
716.0,9.973700,10.000500
717.0,9.973700,10.000100
718.0,9.973700,9.999900
719.0,9.973700,9.999700
720.0,9.973700,9.999300
721.0,9.973700,9.999300
722.0,9.973700,9.998900
723.0,9.973700,9.998800
724.0,9.973700,9.998800
725.0,9.973700,9.998100
726.0,9.973700,9.998200
727.0,9.973700,9.998800
728.0,9.973700,9.998700
729.0,9.973700,9.999200
730.0,9.973700,9.998700
731.0,9.973700,9.999100
732.0,9.973700,9.998500
733.0,9.973700,9.998600
734.0,9.973700,9.997800
735.0,9.973700,9.998400
736.0,9.973700,9.998300
737.0,9.973700,9.998200
738.0,9.973700,9.998300
739.0,9.973700,9.998300
740.0,9.973700,9.998000
741.0,9.973700,9.997700
742.0,9.973800,9.998100
743.0,9.973800,9.997900
744.0,9.973800,9.997900
745.0,9.973800,9.997700
746.0,9.973800,9.998300
747.0,9.973800,9.998000
748.0,9.973800,9.997900
749.0,9.973800,9.998200
750.0,9.973800,9.998900
751.0,9.973800,9.999200
752.0,9.973800,9.998900
753.0,9.973800,9.998800
754.0,9.973800,9.998600
755.0,9.973800,9.998500
756.0,9.973800,9.998500
757.0,9.973800,9.998500
758.0,9.973800,9.998700
759.0,9.973800,9.998500
760.0,9.973800,9.998600
761.0,9.973800,9.998200
762.0,9.973800,9.998200
763.0,9.973800,9.998300
764.0,9.973800,9.998600
765.0,9.973800,9.998800
766.0,9.973900,9.998700
767.0,9.973900,9.999000
768.0,9.973900,9.999000
769.0,9.973900,9.998800
770.0,9.973900,9.998100
771.0,9.973900,9.997800
772.0,9.973900,9.997400
773.0,9.973900,9.997900
774.0,9.973900,9.997800
775.0,9.973900,9.997700
776.0,9.973900,9.997700
777.0,9.973900,9.997800
778.0,9.973900,9.997700
779.0,9.973900,9.997400
780.0,9.973900,9.997500
781.0,9.973900,9.998100
782.0,9.973900,9.998600
783.0,9.973900,9.998900
784.0,9.974000,9.999200
785.0,9.974000,9.999400
786.0,9.974000,9.999200
787.0,9.974000,9.999400
788.0,9.974000,9.999300
789.0,9.974000,9.999800
790.0,9.974000,9.999700
791.0,9.974000,9.999600
792.0,9.974000,9.999600
793.0,9.974000,10.000000
794.0,9.974000,10.000000
795.0,9.974000,9.999900
796.0,9.974000,9.999900
797.0,9.974000,10.000100
798.0,9.974000,9.999900
799.0,9.974000,10.000100
800.0,9.974000,9.999900
801.0,9.974100,9.999800
802.0,9.974100,9.999600
803.0,9.974100,9.999700
804.0,9.974100,9.999600
805.0,9.974100,9.999800
806.0,9.974100,10.000100
807.0,9.974100,10.000000
808.0,9.974100,10.000000
809.0,9.974100,10.000600
810.0,9.974100,10.000500
811.0,9.974100,10.000300
812.0,9.974100,10.000200
813.0,9.974100,10.000100
814.0,9.974200,10.000400
815.0,9.974200,10.000700
816.0,9.974200,10.000400
817.0,9.974200,10.000600
818.0,9.974200,10.000300
