# time step,ucb true rewards,random true rewards
199.0,2.465100,2.121500
200.0,2.453900,2.111700
201.0,2.441700,2.101900
202.0,2.429600,2.092200
203.0,2.417800,2.082600
204.0,2.409100,2.073100
205.0,2.398200,2.063600
206.0,2.386600,2.054300
207.0,2.375100,2.045000
208.0,2.363900,2.035800
209.0,2.355500,2.026600
210.0,2.345800,2.017600
211.0,2.334600,2.008600
212.0,2.323600,1.999700
213.0,2.312900,1.990800
214.0,2.303800,1.982100
215.0,2.294600,1.973400
216.0,2.284000,1.964700
217.0,2.273500,1.956200
218.0,2.263000,1.947700
219.0,2.254000,1.939300
220.0,2.245700,1.930900
221.0,2.235600,1.922600
222.0,2.225500,1.914400
223.0,2.215600,1.906200
224.0,2.206500,1.898100
225.0,2.198400,1.890100
226.0,2.188700,1.882100
227.0,2.179000,1.874200
228.0,2.169500,1.866400
229.0,2.160600,1.858600
230.0,2.153100,1.850900
231.0,2.143900,1.843200
232.0,2.134600,1.835600
233.0,2.125500,1.828100
234.0,2.116600,1.820600
235.0,2.109400,1.813200
236.0,2.100500,1.805800
237.0,2.091600,1.798500
238.0,2.082800,1.791200
239.0,2.074100,1.784000
240.0,2.065500,1.776900
241.0,2.056900,1.769800
242.0,2.048400,1.762700
243.0,2.040000,1.755800
244.0,2.032300,1.748800
245.0,2.024800,1.741900
246.0,2.016600,1.735100
247.0,2.008500,1.728300
248.0,2.000400,1.721600
249.0,1.993000,1.714900
250.0,1.986700,1.708200
251.0,1.978800,1.701600
252.0,1.970900,1.695100
253.0,1.963200,1.688600
254.0,1.955700,1.682200
255.0,1.949300,1.675800
256.0,1.941700,1.669400
257.0,1.934100,1.663100
258.0,1.926600,1.656900
259.0,1.919300,1.650600
260.0,1.913000,1.644500
261.0,1.905700,1.638300
262.0,1.898400,1.632300
263.0,1.891200,1.626200
264.0,1.884300,1.620200
265.0,1.878200,1.614300
266.0,1.871100,1.608400
267.0,1.864200,1.602500
268.0,1.857200,1.596600
269.0,1.850400,1.590900
270.0,1.844400,1.585100
271.0,1.837600,1.579400
272.0,1.830800,1.573700
273.0,1.824100,1.568100
274.0,1.817400,1.562500
275.0,1.811700,1.556900
276.0,1.805200,1.551400
277.0,1.798700,1.545900
278.0,1.792200,1.540500
279.0,1.785800,1.535000
280.0,1.780200,1.529700
281.0,1.773900,1.524300
282.0,1.767600,1.519000
283.0,1.761300,1.513700
284.0,1.755100,1.508500
285.0,1.749400,1.503300
286.0,1.743300,1.498100
287.0,1.737200,1.493000
288.0,1.731100,1.487900
289.0,1.725200,1.482800
290.0,1.719700,1.477800
291.0,1.713800,1.472800
292.0,1.707900,1.467800
293.0,1.702100,1.462900
294.0,1.696300,1.458000
295.0,1.691100,1.453100
296.0,1.685300,1.448300
297.0,1.679700,1.443500
298.0,1.674000,1.438700
299.0,1.668400,1.434000
300.0,1.663100,1.429200
301.0,1.657600,1.424500
302.0,1.652100,1.419900
303.0,1.646700,1.415300
304.0,1.641300,1.410700
305.0,1.636300,1.406100
306.0,1.631000,1.401600
307.0,1.625700,1.397100
308.0,1.620400,1.392600
309.0,1.615100,1.388100
310.0,1.610300,1.383700
311.0,1.605100,1.379300
312.0,1.599900,1.374900
313.0,1.594800,1.370600
314.0,1.589700,1.366300
315.0,1.584700,1.362000
316.0,1.579700,1.357700
317.0,1.574700,1.353400
318.0,1.569800,1.349200
319.0,1.564900,1.345000
320.0,1.560400,1.340900
321.0,1.555500,1.336700
322.0,1.550700,1.332600
323.0,1.545900,1.328500
324.0,1.541100,1.324500
325.0,1.536600,1.320400
326.0,1.531800,1.316400
327.0,1.527200,1.312400
328.0,1.522500,1.308400
329.0,1.517900,1.304500
330.0,1.513400,1.300600
331.0,1.508800,1.296700
332.0,1.504300,1.292800
333.0,1.499800,1.288900
334.0,1.495300,1.285100
335.0,1.490900,1.281300
336.0,1.486500,1.277500
337.0,1.482100,1.273700
338.0,1.477700,1.270000
339.0,1.473300,1.266200
340.0,1.469200,1.262500
341.0,1.464900,1.258900
342.0,1.460600,1.255200
343.0,1.456400,1.251600
344.0,1.452100,1.248000
345.0,1.448100,1.244400
346.0,1.443900,1.240800
347.0,1.439700,1.237200
348.0,1.435600,1.233700
349.0,1.431500,1.230200
350.0,1.427500,1.226700
351.0,1.423400,1.223200
352.0,1.419400,1.219700
353.0,1.415400,1.216300
354.0,1.411400,1.212900
355.0,1.407500,1.209500
356.0,1.403500,1.206100
357.0,1.399600,1.202800
358.0,1.395700,1.199400
359.0,1.391800,1.196100
360.0,1.388000,1.192800
361.0,1.384200,1.189500
362.0,1.380300,1.186200
363.0,1.376500,1.183000
364.0,1.372700,1.179700
365.0,1.369000,1.176500
366.0,1.365300,1.173300
367.0,1.361600,1.170100
368.0,1.357900,1.167000
