# time step,reward random diff model 3
355.0,0.022100
356.0,0.021700
357.0,0.021300
358.0,0.020900
359.0,0.020500
360.0,0.020100
361.0,0.019700
362.0,0.019400
363.0,0.019000
364.0,0.018700
365.0,0.018300
366.0,0.018000
367.0,0.017600
368.0,0.017200
369.0,0.016900
370.0,0.016500
371.0,0.016200
372.0,0.015800
373.0,0.015500
374.0,0.015200
375.0,0.014900
376.0,0.014500
377.0,0.014200
378.0,0.014000
379.0,0.013700
380.0,0.013400
381.0,0.013100
382.0,0.012800
383.0,0.012500
384.0,0.012300
385.0,0.012000
386.0,0.011700
387.0,0.011400
388.0,0.011200
389.0,0.011000
390.0,0.010700
391.0,0.010400
392.0,0.010200
393.0,0.009900
394.0,0.009700
395.0,0.009400
396.0,0.009200
397.0,0.008900
398.0,0.008700
399.0,0.008500
400.0,0.008300
401.0,0.008000
402.0,0.007800
403.0,0.007600
404.0,0.007400
405.0,0.007100
406.0,0.007000
407.0,0.006800
408.0,0.006600
409.0,0.006300
410.0,0.006100
411.0,0.005900
412.0,0.005700
413.0,0.005600
414.0,0.005400
415.0,0.005200
416.0,0.005000
417.0,0.004800
418.0,0.004600
419.0,0.004400
420.0,0.004300
421.0,0.004100
422.0,0.003900
423.0,0.003700
424.0,0.003600
425.0,0.003400
426.0,0.003200
427.0,0.003100
428.0,0.002900
429.0,0.002700
430.0,0.002600
431.0,0.002400
432.0,0.002200
433.0,0.002100
434.0,0.001900
435.0,0.001800
436.0,0.001700
437.0,0.001500
438.0,0.001400
439.0,0.001200
440.0,0.001100
441.0,0.000900
442.0,0.000800
443.0,0.000600
444.0,0.000500
445.0,0.000400
446.0,0.000200
447.0,0.000100
448.0,-0.000000
449.0,-0.000100
450.0,-0.000300
451.0,-0.000400
452.0,-0.000500
453.0,-0.000700
454.0,-0.000800
455.0,-0.000900
456.0,-0.001000
457.0,-0.001100
458.0,-0.001200
459.0,-0.001300
460.0,-0.001500
461.0,-0.001600
462.0,-0.001700
463.0,-0.001800
464.0,-0.001900
465.0,-0.002000
466.0,-0.002100
467.0,-0.002200
468.0,-0.002300
469.0,-0.002400
470.0,-0.002500
471.0,-0.002600
472.0,-0.002700
473.0,-0.002800
474.0,-0.002900
475.0,-0.003000
476.0,-0.003100
477.0,-0.003200
478.0,-0.003300
479.0,-0.003400
480.0,-0.003500
481.0,-0.003600
482.0,-0.003600
483.0,-0.003700
484.0,-0.003800
485.0,-0.003900
486.0,-0.004000
487.0,-0.004000
488.0,-0.004100
489.0,-0.004200
490.0,-0.004300
491.0,-0.004300
492.0,-0.004400
493.0,-0.004500
494.0,-0.004600
495.0,-0.004600
496.0,-0.004700
497.0,-0.004800
498.0,-0.004800
499.0,-0.004900
500.0,-0.005000
501.0,-0.005000
502.0,-0.005100
503.0,-0.005100
504.0,-0.005200
505.0,-0.005200
506.0,-0.005300
507.0,-0.005400
508.0,-0.005400
509.0,-0.005500
510.0,-0.005500
511.0,-0.005600
512.0,-0.005700
513.0,-0.005700
514.0,-0.005800
515.0,-0.005800
516.0,-0.005900
517.0,-0.005900
518.0,-0.006000
519.0,-0.006000
520.0,-0.006100
521.0,-0.006100
522.0,-0.006200
523.0,-0.006200
524.0,-0.006300
525.0,-0.006300
526.0,-0.006300
527.0,-0.006400
528.0,-0.006400
529.0,-0.006500
530.0,-0.006500
531.0,-0.006600
532.0,-0.006600
533.0,-0.006600
534.0,-0.006700
535.0,-0.006700
536.0,-0.006800
537.0,-0.006800
538.0,-0.006800
539.0,-0.006900
540.0,-0.006900
541.0,-0.006900
542.0,-0.007000
543.0,-0.007000
544.0,-0.007100
545.0,-0.007100
546.0,-0.007100
547.0,-0.007200
548.0,-0.007200
549.0,-0.007200
550.0,-0.007200
551.0,-0.007300
552.0,-0.007300
553.0,-0.007300
554.0,-0.007400
555.0,-0.007400
556.0,-0.007400
557.0,-0.007500
558.0,-0.007500
559.0,-0.007500
560.0,-0.007500
561.0,-0.007500
562.0,-0.007600
563.0,-0.007600
564.0,-0.007600
565.0,-0.007600
566.0,-0.007700
567.0,-0.007700
568.0,-0.007700
569.0,-0.007700
570.0,-0.007800
571.0,-0.007800
572.0,-0.007800
573.0,-0.007800
574.0,-0.007800
575.0,-0.007900
576.0,-0.007900
577.0,-0.007900
578.0,-0.007900
579.0,-0.007900
580.0,-0.008000
581.0,-0.008000
582.0,-0.008000
583.0,-0.008000
584.0,-0.008000
585.0,-0.008100
586.0,-0.008100
587.0,-0.008100
588.0,-0.008100
589.0,-0.008100
590.0,-0.008100
591.0,-0.008100
592.0,-0.008200
593.0,-0.008200
594.0,-0.008200
595.0,-0.008200
596.0,-0.008200
597.0,-0.008200
598.0,-0.008200
599.0,-0.008300
600.0,-0.008300
601.0,-0.008300
602.0,-0.008300
603.0,-0.008300
604.0,-0.008300
605.0,-0.008300
606.0,-0.008300
607.0,-0.008300
608.0,-0.008300
609.0,-0.008300
610.0,-0.008400
611.0,-0.008400
612.0,-0.008400
613.0,-0.008400
614.0,-0.008400
615.0,-0.008400
616.0,-0.008400
617.0,-0.008400
618.0,-0.008400
619.0,-0.008400
620.0,-0.008400
621.0,-0.008400
622.0,-0.008500
623.0,-0.008500
624.0,-0.008500
625.0,-0.008500
626.0,-0.008500
627.0,-0.008500
628.0,-0.008500
629.0,-0.008500
630.0,-0.008500
631.0,-0.008500
632.0,-0.008500
633.0,-0.008500
634.0,-0.008500
635.0,-0.008500
636.0,-0.008500
637.0,-0.008500
638.0,-0.008500
639.0,-0.008600
640.0,-0.008600
641.0,-0.008600
642.0,-0.008600
643.0,-0.008600
644.0,-0.008600
645.0,-0.008600
646.0,-0.008600
647.0,-0.008600
648.0,-0.008600
649.0,-0.008600
650.0,-0.008600
651.0,-0.008600
652.0,-0.008600
653.0,-0.008600
654.0,-0.008600
655.0,-0.008600
656.0,-0.008600
657.0,-0.008600
658.0,-0.008600
659.0,-0.008600
660.0,-0.008600
661.0,-0.008600
662.0,-0.008600
663.0,-0.008600
664.0,-0.008600
665.0,-0.008600
666.0,-0.008600
667.0,-0.008600
668.0,-0.008600
669.0,-0.008600
670.0,-0.008600
671.0,-0.008600
